epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3347.68,0.9128,0.46967,1.05319,0.92801,0.96053,0.94895,0.71121,0.71759,0.37492,1.03042,0.00416614,0.00416614,0.00416614
80,3389.94,0.86739,0.47702,1.06731,0.93317,0.97368,0.97711,0.7166,0.70798,0.37641,1.02675,0.00405708,0.00405708,0.00405708
81,3432.17,0.92102,0.4632,1.05188,0.94141,0.96392,0.97883,0.72272,0.68369,0.33635,1.01055,0.00394852,0.00394852,0.00394852
82,3473.84,0.85581,0.43403,1.04866,0.9649,0.97705,0.98357,0.72205,0.70057,0.3412,1.02672,0.00384051,0.00384051,0.00384051
83,3515.78,0.86318,0.45759,1.07218,0.98931,0.94737,0.98076,0.70562,0.72038,0.35867,1.03353,0.00373312,0.00373312,0.00373312
84,3557.87,0.89574,0.44272,1.04333,0.95071,0.97368,0.98109,0.7273,0.70043,0.3478,1.01931,0.00362638,0.00362638,0.00362638
85,3600.21,0.86396,0.44592,1.0227,0.95408,0.98684,0.98326,0.72745,0.68665,0.33981,1.01353,0.00352037,0.00352037,0.00352037
86,3642.96,0.84995,0.44651,1.03279,0.96835,0.9767,0.98437,0.73568,0.68611,0.35619,1.01319,0.00341512,0.00341512,0.00341512
87,3685.76,0.87673,0.44558,1.06839,0.91166,0.93421,0.94118,0.71393,0.73197,0.37539,1.04458,0.00331069,0.00331069,0.00331069
88,3728.16,0.84433,0.42316,1.04555,0.968,0.97672,0.98615,0.71156,0.71418,0.3657,1.03448,0.00320715,0.00320715,0.00320715
89,3770.09,0.9248,0.47209,1.08049,0.96797,0.97106,0.959,0.72514,0.67215,0.34268,1.01619,0.00310453,0.00310453,0.00310453
90,3812.28,0.87841,0.44847,1.06005,0.97706,0.94737,0.96176,0.73755,0.65414,0.33749,0.99999,0.00300289,0.00300289,0.00300289
91,3854.41,0.8675,0.44253,1.05156,0.97012,0.96053,0.96251,0.73984,0.67898,0.3426,1.00568,0.00290228,0.00290228,0.00290228
92,3897.04,0.81443,0.43571,1.04366,0.97469,0.94737,0.9568,0.73228,0.70844,0.34017,1.01784,0.00280275,0.00280275,0.00280275
